plant_code,plant_name,year,state,net_gen_mwh,consumption_ML,withdrawal_ML,discharge_ML,facility_age_yrs,cooling_category,cooling_type_eia,n_cooling_systems,primary_fuel,LAT,LON,ashrae_zone,moisture_regime,ba_climate_zone,bws_raw,max_temp_f,min_temp_f,mean_temp_f,state_water_intensity_L_per_MWh,capacity_mw
688,Arvah B Hopkins,2022,FL,1558740.0,1059.51733195,2135.4217037900003,1075.90437184,45,Closed,RI,1,NG,30.4522,-84.4,2A,A,Hot-Humid,0.390419117,80.7,57.6,69.1,698.135737432875,673.1
688,Arvah B Hopkins,2023,FL,1646202.002,983.1126165100001,2201.57174354,1218.45912703,46,Closed,RI,1,NG,30.4522,-84.4,2A,A,Hot-Humid,0.390419117,82.4,59.8,71.1,786.263275983292,673.1
6073,Victor J Daniel Jr,2021,MS,11285588.04,8413.077510410001,487318.54933082,20055.10218,44,Closed,RC,2,SUB,30.5322,-88.5553,2A,A,Hot-Humid,0.173674303,79.4,58.2,68.8,1368.6581713499852,2229.0
6073,Victor J Daniel Jr,2022,MS,10960074.04,8154.03433329,501392.41223425,10345.1091349,45,Closed,RC,2,SUB,30.5322,-88.5553,2A,A,Hot-Humid,0.173674303,80.3,56.8,68.6,1113.947101091546,2229.0
6073,Victor J Daniel Jr,2023,MS,9488042.324,8382.04850464,299553.02235534,5806.81894,46,Closed,RC,2,SUB,30.5322,-88.5553,2A,A,Hot-Humid,0.173674303,81.8,58.9,70.3,1190.1701895314181,2229.0
6073,Victor J Daniel Jr,2024,MS,9500039.959,7714.101553910001,311795.42819257,7116.5708,47,Closed,RC,2,SUB,30.5322,-88.5553,2A,A,Hot-Humid,0.173674303,82.4,59.8,71.1,1101.6484788874882,2229.0
50398,International Paper Savanna Mill,2023,GA,624846.992,1342.73413733,1420.5924502100002,92.67062221,42,Closed,RI,2,BLQ,32.100354,-81.124248,2A,A,Hot-Humid,0.230909114,79.3,58.7,69.0,1527.9196715594371,154.0
50398,International Paper Savanna Mill,2021,GA,606916.002,1343.6994168800002,1428.2881887400001,85.28150189,40,Closed,RI,2,BLQ,32.100354,-81.124248,2A,A,Hot-Humid,0.230909114,77.7,57.3,67.5,1654.8126797433392,154.0
50398,International Paper Savanna Mill,2024,GA,687305.999,820.7336691500001,998.1444796200001,177.44487916,43,Closed,RI,2,BLQ,32.100354,-81.124248,2A,A,Hot-Humid,0.230909114,79.3,59.2,69.3,1374.658807445936,154.0
50398,International Paper Savanna Mill,2022,GA,588003.994,1343.01804308,1427.15256574,85.28150189,41,Closed,RI,2,BLQ,32.100354,-81.124248,2A,A,Hot-Humid,0.230909114,78.3,57.1,67.7,1802.497765144944,154.0
